userId,movieId,title,predicted_score,rank
1,117646,Dragonheart 2: A New Beginning (2000),0.8031603612277454,1
1,55116,"Hunting Party, The (2007)",0.7894736775748368,2
1,6990,The Great Train Robbery (1978),0.7861553723445002,3
1,5657,Flashback (1990),0.7861553723445002,4
1,164226,Maximum Ride (2016),0.7753604131850517,5
1,26184,"Diamond Arm, The (Brilliantovaya ruka) (1968)",0.7746522080828084,6
1,6503,Charlie's Angels: Full Throttle (2003),0.7746522080828084,7
1,8968,After the Sunset (2004),0.7746522080828084,8
1,80219,Machete (2010),0.7746522080828084,9
1,4956,"Stunt Man, The (1980)",0.7673780810832665,10
2,5027,Another 48 Hrs. (1990),0.8807939407204459,1
2,5628,Wasabi (2001),0.8807939407204459,2
2,20,Money Train (1995),0.8807939407204459,3
2,1432,Metro (1997),0.8807939407204459,4
2,7007,"Last Boy Scout, The (1991)",0.8807939407204459,5
2,145,Bad Boys (1995),0.8807939407204459,6
2,32460,Knockin' on Heaven's Door (1997),0.8131818877727484,7
2,8370,"Blind Swordsman: Zatoichi, The (Zatôichi) (2003)",0.8131818877727484,8
2,34450,Miracles - Mr. Canton and Lady Rose (1989),0.8131818877727484,9
2,2000,Lethal Weapon (1987),0.8131818877727484,10
3,60471,Rogue (2007),0.9268468164117377,1
3,1200,Aliens (1986),0.9106379400821398,2
3,161918,Sharknado 4: The 4th Awakens (2016),0.9106379400821398,3
3,2364,"Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla, The) (1984)",0.8979076811472819,4
3,86835,Priest (2011),0.8979076811472819,5
3,1320,Alien³ (a.k.a. Alien 3) (1992),0.8979076811472819,6
3,169984,Alien: Covenant (2017),0.8979076811472819,7
3,55232,Resident Evil: Extinction (2007),0.8979076811472819,8
3,5219,Resident Evil (2002),0.8979076811472819,9
3,4552,"Tetsuo, the Ironman (Tetsuo) (1988)",0.8979076811472819,10
