userId,movieId,title,predicted_score,rank
1,1197,"Princess Bride, The (1987)",5.03340162654943,1
1,260,Star Wars: Episode IV - A New Hope (1977),5.005005477270607,2
1,296,Pulp Fiction (1994),4.953346533440959,3
1,1196,Star Wars: Episode V - The Empire Strikes Back (1980),4.916162026763467,4
1,1208,Apocalypse Now (1979),4.909795974908011,5
1,1210,Star Wars: Episode VI - Return of the Jedi (1983),4.884345389685537,6
1,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.873817279955379,7
1,2959,Fight Club (1999),4.808878233205907,8
1,2028,Saving Private Ryan (1998),4.800827142278681,9
1,1136,Monty Python and the Holy Grail (1975),4.794803970495292,10
2,131724,The Jinx: The Life and Deaths of Robert Durst (2015),4.61162805345916,1
2,48516,"Departed, The (2006)",4.399949005281354,2
2,58559,"Dark Knight, The (2008)",4.39771256938777,3
2,79132,Inception (2010),4.318315120969328,4
2,80489,"Town, The (2010)",4.298507315055926,5
2,106782,"Wolf of Wall Street, The (2013)",4.290554731162888,6
2,80906,Inside Job (2010),4.290154972108626,7
2,6874,Kill Bill: Vol. 1 (2003),4.275788300022047,8
2,112552,Whiplash (2014),4.267042907446306,9
2,318,"Shawshank Redemption, The (1994)",4.262570749987984,10
3,6835,Alien Contamination (1980),3.4990410302632897,1
3,5746,Galaxy of Terror (Quest) (1981),3.454282830024561,2
3,5181,Hangar 18 (1980),3.249376894730232,3
3,5764,Looker (1981),3.2334627996941903,4
3,5919,Android (1982),3.208830250325197,5
3,3703,"Road Warrior, The (Mad Max 2) (1981)",3.1226820338799843,6
3,2288,"Thing, The (1982)",3.030833469254616,7
3,7899,Master of the Flying Guillotine (Du bi quan wang da po xue di zi) (1975),2.9893202746491108,8
3,7991,Death Race 2000 (1975),2.887723705857307,9
3,1275,Highlander (1986),2.8456479623019257,10
